ModelGeneID,InfectedCandida48R1,InfectedCandida48R2
CAALFM_C100070WA,65.8009889,113.4819766
CAALFM_C100100CA,0,0
CAALFM_C100120CA,0,151.9758629
CAALFM_C100170WA,0,0
CAALFM_C100310WA,96.355976,16.6177846
CAALFM_C100340WA,100.4191798,277.0965532
CAALFM_C100500CA,145.7981094,50.289389
CAALFM_C100510WA,0,0
CAALFM_C100610WA,84.6171769,116.7462635
CAALFM_C100630WA,0,0
CAALFM_C100740CA,158.2555428,109.1725344
CAALFM_C101330CA,0,0
CAALFM_C101530CA,40.1354346,13.8437082
CAALFM_C101690CA,463.0439957,559.0038105
CAALFM_C101740WA,133.5032626,0
CAALFM_C101780CA,260.045508,165.5929002
CAALFM_C101810CA,24.5140939,101.4662379
CAALFM_C101870CA,0,0
CAALFM_C101920WA,24.5140939,0
CAALFM_C101980WA,3503.360341,2574.752245
CAALFM_C101990WA,0,0
CAALFM_C102020WA,0,0
CAALFM_C102030CA,0,0
CAALFM_C102050CA,43.5616303,20.0339842
CAALFM_C102070WA,0,0
CAALFM_C102110CA,228.9778001,142.1642344
CAALFM_C102150WA,166.449247,38.2749862
CAALFM_C102320CA,0,0
CAALFM_C102420CA,102.0990054,27.2643737
CAALFM_C102480WA,395.3260991,136.35779
CAALFM_C102530CA,0,0
CAALFM_C102570CA,0,0
CAALFM_C102580WA,0,0
CAALFM_C102590CA,469.3654154,412.0983722
CAALFM_C102600WA,50.0087515,137.9940835
CAALFM_C102620CA,104.184899,47.9146123
CAALFM_C102710WA,176.0871533,208.2405687
CAALFM_C102820WA,35.5934175,18.4155805
CAALFM_C102840WA,10.9284859,60.3120994
CAALFM_C102930CA,0,37.8273255
CAALFM_C103000WA,0,0
CAALFM_C103380WA,225.0112555,116.4179557
CAALFM_C103430WA,35.5175792,49.0035808
CAALFM_C103440CA,104.402404,0
CAALFM_C103760CA,41.9536506,0
CAALFM_C103780CA,46.5630834,64.2430556
CAALFM_C104200CA,0,0
CAALFM_C104290CA,331.8630953,158.1737202
CAALFM_C104420CA,0,61.6045016
CAALFM_C104460CA,0,0
CAALFM_C104500WA,215.5549635,422.6225334
CAALFM_C104630CA,42.962845,51.8663329
CAALFM_C104660WA,0,0
CAALFM_C104730CA,29.1426291,0
CAALFM_C104770CA,64.6107901,89.1434648
CAALFM_C105080WA,0,0
CAALFM_C105110CA,488.6299846,302.2107624
CAALFM_C105260CA,39.1304785,0
CAALFM_C105290WA,57.4373103,79.2462195
CAALFM_C105410CA,0,139.8588684
CAALFM_C105530CA,46.5920045,64.2829582
CAALFM_C105560WA,79.9145532,441.0322271
CAALFM_C105600WA,7.9530457,0
CAALFM_C105710CA,0,0
CAALFM_C105940WA,12.4152809,0
