Genes,Mouse_Infected48_R1,Mouse_Infected48_R2
11754,0.5209574,0.5431385
76507,12.8870831,11.7582767
237940,1.7542913,1.5983754
13081,9.8294296,10.0864611
13115,8.5396219,6.8590804
231691,0.0669147,0.0628752
20887,3.7257125,3.621751
217593,0.0206971,0.0237667
106557,0,0
16833,0.0122148,0.0283117
54122,0.4779033,0.4927376
16832,46.5428853,39.9484888
16828,33.147843,32.5552598
80879,3.0549929,2.669207
20503,0.1348572,0.1671062
20501,5.7507737,5.6064818
232156,0.0260133,0.0274684
54403,1.1575614,1.2220594
18293,5.4238348,5.5761059
13382,8.1224903,9.0472291
27402,0.7979427,0.8076357
78920,10.3664434,10.6078466
100417514,0.0060307,0.0111924
26876,0.0041189,0.0033747
11522,4.6914632,5.2146177
11529,0.1888966,0.2276215
11532,9.4088067,9.6033933
76187,4.1691329,4.8699488
12846,26.0445001,25.2781884
72472,0.5402928,0.5532896
11670,0.030086,0.0386981
73458,0.2071803,0.2537834
621603,0.3519803,0.3973717
56847,0.0668601,0.0837793
67689,1.4806681,1.3454843
15445,0.8174034,1.0826283
268860,0.772728,0.9775822
70750,0.9824676,0.9954426
107766,3.3563181,3.7466658
52430,7.5650443,7.3993717
23923,0.5071489,0.6235714
70266,6.6289382,7.1224234
13195,0.6904943,0.713919
17161,0.2432173,0.292502
109731,0.0693259,0.0699452
50799,0.3414348,0.3608988
78830,0.6432415,0.6671992
246277,10.3907204,11.489258
14415,0.0036618,0.0038359
14417,0.0001819,0.0003962
14718,3.4787683,3.5517416
14719,6.1765239,6.319845
212647,7.3698379,7.6872137
17250,0.2164675,0.2143859
20859,0.0000792,0
629219,0,0
434264,0,0
629203,0.0000586,0.0001135
434121,0.0005299,0.0007893
20509,12.548933,11.3501733
11761,0.1059804,0.1030538
110877,1.1214482,1.1221799
214084,0.0912604,0.0920493
14275,10.669219,11.5976049
14276,0.7588287,0.7265035
17159,6.4261532,6.5658818
239559,2.3819092,2.2372449
333424,0.2619144,0.3194927
80908,0.0005074,0.0001404
215335,2.3894934,2.500853
232333,0.0003269,0
243616,0.0000824,0.0001463
14412,1.1302961,1.2783609
14411,0.1133323,0.1153689
110446,7.6250856,8.8599779
231086,1.3453017,1.3745842
52538,2.2127547,2.2924798
97212,5.9905931,5.9380224
224530,18.6164332,17.1227184
110460,12.4634246,11.6249202
235674,15.9690119,14.9486605
100705,0.4491881,0.4730619
11416,2.2636554,2.4399293
68738,1.9329259,2.15214
380660,0.0400142,0.0413876
54342,3.5367613,3.9190987
56174,7.4106534,7.115528
109785,1.6283603,1.6361232
327942,0.3436588,0.3490036
217214,0.0760196,0.0561025
11423,1.0320217,1.1060247
20508,#N/A,#N/A
104112,3.6183531,3.6322747
94181,2.0361258,1.9782676
235504,1.6798197,1.7220133
67311,0.5264904,0.5578728
11433,6.8895873,6.5511395
66659,2.340851,2.4922342
66885,1.9432381,2.1769067
11364,14.5638075,16.5417246
11409,14.9264758,14.5028032
102632,1.9812446,2.0672539
66948,2.2551949,2.3330784
229211,1.9860119,2.0243029
56357,8.7993558,9.1342623
74156,2.7095266,2.7341502
11430,22.5092562,22.635965
109652,8.3839357,8.8872531
11429,8.0130042,8.542032
11428,4.3361622,4.3410799
93732,1.2307142,1.2798501
11431,0.5191583,0.5273737
56318,0.1357025,0.1119184
57279,2.1586012,2.0673568
60525,3.176767,3.3004708
78894,1.7085587,1.773365
107626,0.0192708,0.0154527
13106,33.8062653,42.1804292
11486,0.134029,0.1350486
13340,0.7093099,0.6753371
11639,1.0084916,1.1330975
11637,8.9799683,8.7534879
229949,0.0063878,0.0067385
56248,5.6289003,5.9513281
11702,3.747877,3.6890376
100041585,14.7404295,14.8547069
11512,8.8040542,8.3603919
271639,0.0049808,0.0041167
104111,0.0806509,0.0782118
11514,0.0195583,0.0141048
210044,0.0005753,0.0005571
11513,0.274114,0.2667946
432530,0.3672402,0.370357
104110,0.3648904,0.3475324
11515,0.2320357,0.2217611
224129,0.0578119,0.0528524
63959,1.5484265,1.4126113
434203,0.1382687,0.1388777
114304,0.0004728,0.0003614
269346,0.0549034,0.0481106
71279,1.8971059,1.8874438
53893,1.4540331,1.457186
12494,0.2858645,0.2522507
12895,3.2356626,3.3569149
78070,0.0991529,0.0990672
12894,5.2127905,5.4369426
12896,7.0395436,6.8754504
23972,1.9268756,2.1340854
23971,0.8645624,0.8754841
11564,1.9794755,2.0025665
231727,1.2835062,1.2106657
53625,1.7052341,1.7715369
108902,13.467539,13.2107282
210004,0.2966394,0.2927753
232984,1.5751798,1.4466583
227327,1.8323978,1.7916956
72297,0.0652878,0.0552376
75986,0.3104079,0.326377
67512,4.8340783,5.0711777
102247,2.8396411,2.8113785
68262,0.0771854,0.0696746
28169,3.0114955,3.0594513
52123,0.4239721,0.4245285
55979,10.8113074,10.0578519
67216,0.0372815,0.0401325
